restaurant_id,profile_key,label,headcount,national_avg,national_range,source,pre_avg_turnover,post_annualized,rolling_at_182,post_exits,post_days,improvement_pct,rates_cw,rates_ew,rates_ce,rates_ee,l1_original_count,l1_pre_exits,l1_pre_retention,l1_post_at_risk,l1_post_exits,l1_post_retention,l2_pre_eligible,l2_pre_survived,l2_pre_survival,l2_post_eligible,l2_post_survived,l2_post_survival,l3_pre_count,l3_pre_exits,l3_pre_retention,l3_post_count,l3_post_exits,l3_post_retention
101,fast_casual,Fast Casual / QSR,42,130,100-150%,"NRA, QSR Magazine",114.1,47.6,111.9,40,730,66.5,0.009902,0.00198,0.004562,0.000912,42,33,21.4,9,4,55.6,117,56,47.9,34,21,61.8,56,39,30.4,21,5,76.2
102,high_volume_chain,High Volume Chain,80,100,100%+,"BLS, Black Box Intelligence",114.7,50.0,72.5,80,730,64.7,0.009016,0.001803,0.005156,0.001031,80,68,15.0,12,6,50.0,241,104,43.2,71,43,60.6,104,72,30.8,43,8,81.4
103,college_town_cafe,College Town Cafe,37,90,90%+,BLS (seasonal/student workforce),116.4,71.6,75.7,53,730,44.8,0.00857,0.001714,0.00575,0.00115,37,33,10.8,4,3,25.0,92,41,44.6,51,30,58.8,41,27,34.1,30,10,66.7
104,airport_restaurant,Airport Restaurant,67,82,80%+,BLS (transient labor market),80.1,34.3,47.8,46,730,45.8,0.006938,0.001388,0.004562,0.000912,67,53,20.9,14,7,50.0,146,84,57.5,39,26,66.7,84,52,38.1,26,3,88.5
105,sports_bar,Sports Bar,61,78,75-80%,"NRA, 7shifts",122.8,45.1,85.2,55,730,77.7,0.006678,0.001336,0.004377,0.000875,61,54,11.5,7,2,71.4,178,86,48.3,45,32,71.1,86,61,29.1,32,9,71.9
106,bar_and_grille,Bar & Grille,59,78,75-80%,"NRA, Black Box Intelligence",75.2,49.2,66.1,58,730,26.1,0.006789,0.001358,0.004562,0.000912,59,49,16.9,10,5,50.0,133,70,52.6,50,37,74.0,70,50,28.6,37,9,75.7
107,hotel_restaurant,Hotel Restaurant,55,78,75-80%,"Cornell Hotel School, BLS",82.0,45.5,65.5,50,730,36.5,0.006919,0.001384,0.004562,0.000912,55,43,21.8,12,7,41.7,107,60,56.1,44,35,79.5,60,39,35.0,35,13,62.9
108,family_diner,Family Diner,35,78,75-80%,NRA,85.5,61.4,71.4,43,730,24.0,0.006789,0.001358,0.00575,0.00115,35,24,31.4,11,6,45.5,86,43,50.0,34,22,64.7,43,33,23.3,22,9,59.1
109,breakfast_cafe,Breakfast Cafe,26,78,75-80%,"NRA, Homebase",124.4,76.9,130.8,40,730,47.5,0.00857,0.001714,0.006047,0.001209,26,24,7.7,2,1,50.0,90,40,44.4,37,15,40.5,40,31,22.5,15,2,86.7
110,upscale_casual,Upscale Casual,59,75,70-80%,Black Box Intelligence,71.2,35.6,64.4,42,730,35.6,0.006641,0.001328,0.003969,0.000794,59,47,20.3,12,7,41.7,127,64,50.4,41,29,70.7,64,34,46.9,29,8,72.4
111,neighborhood_bistro,Neighborhood Bistro,34,75,70-80%,NRA,76.0,67.6,70.6,46,730,8.3,0.006789,0.001358,0.00575,0.00115,34,28,17.6,6,5,16.7,73,37,50.7,39,25,64.1,37,28,24.3,25,7,72.0
112,steakhouse,Steakhouse / Fine Dining,52,60,50-70%,Cornell Hotel School,73.5,46.2,48.1,48,730,27.3,0.006344,0.001269,0.004414,0.000883,52,36,30.8,16,9,43.8,94,54,57.4,41,29,70.7,54,35,35.2,29,9,69.0
113,fast_casual,Fast Casual / QSR,48,130,100-150%,"NRA, QSR Magazine",131.6,37.5,91.7,36,730,94.1,0.009902,0.00198,0.004562,0.000912,48,44,8.3,4,2,50.0,161,66,41.0,33,26,78.8,66,46,30.3,26,5,80.8
114,high_volume_chain,High Volume Chain,77,100,100%+,"BLS, Black Box Intelligence",134.3,57.1,84.4,88,730,77.2,0.009016,0.001803,0.005156,0.001031,77,62,19.5,15,10,33.3,245,106,43.3,78,51,65.4,106,83,21.7,51,11,78.4
115,college_town_cafe,College Town Cafe,35,90,90%+,BLS (seasonal/student workforce),85.1,60.0,114.3,42,730,25.1,0.00857,0.001714,0.00575,0.00115,35,31,11.4,4,2,50.0,104,45,43.3,37,22,59.5,45,31,31.1,22,6,72.7
116,airport_restaurant,Airport Restaurant,73,82,80%+,BLS (transient labor market),85.6,47.3,90.4,69,730,38.3,0.006938,0.001388,0.004562,0.000912,73,53,27.4,20,10,50.0,176,84,47.7,65,40,61.5,84,57,32.1,40,7,82.5
117,sports_bar,Sports Bar,61,78,75-80%,"NRA, 7shifts",90.5,34.4,49.2,42,730,56.1,0.006678,0.001336,0.004377,0.000875,61,43,29.5,18,9,50.0,125,68,54.4,39,31,79.5,68,44,35.3,31,6,80.6
118,bar_and_grille,Bar & Grille,61,78,75-80%,"NRA, Black Box Intelligence",102.4,40.2,83.6,49,730,62.2,0.006789,0.001358,0.004562,0.000912,61,50,18.0,11,6,45.5,154,88,57.1,42,23,54.8,88,56,36.4,23,5,78.3
