staff_id,restaurant_id,start_persona,final_persona,total_days,exit_day
b28f13d23de39572ea742fde4a18c752ce9ff3dc,101,emerging_leader,exit,1,1
f0c9a3f2386b341e4482be10139b83ce91b3411a,101,snarky_rookie,snarky_rookie,365,
8659568cb696e43ab8fda7e2b7de5c49b39f9b99,101,enthusiastic_rookie,quiet_pro,365,
2a38e17943b8eb05e9a7f1adcebbc54b1090d179,101,snarky_rookie,exit,13,13
c9dd5c84e35be558df84958ccf305065ce12ef12,101,workhorse,exit,143,143
577c165ea850305bd754ba7bf0307a8ddbc6a5c5,101,snarky_rookie,exit,7,7
2bb79dc917bac8901cf3438079bd1f0adae843e8,101,snarky_rookie,exit,70,70
09411bbb2a47c48d4029efffcce625179a7aa1ee,101,enthusiastic_rookie,quiet_pro,365,
2002edb74faceec1f485fb1eaec866f05dead825,101,snarky_rookie,exit,26,26
ef5294746b46da372cf48e464e2c8163e1dfa226,101,social_glue,quiet_pro,365,
d26752c89940e4a780aeebdd553a06033abc45bd,101,ghoster_in_training,exit,33,33
256e957a09fe888959322fd15c05fc78b416e27e,101,workhorse,quiet_pro,365,
da1b4fb81a33791e3cd085035b69b634d6402c5c,101,social_glue,quiet_pro,365,
0f17e9ffc55f0dcf7423a08c0d9e0e149b1bad0a,101,lazy_rookie,exit,1,1
3928ad6bd5329cba5df76f927aef560744975cb3,101,enthusiastic_rookie,exit,59,59
d0b8f97e5dd00d7e3d32fec66115333a30d7673e,101,snarky_rookie,exit,1,1
53087d4bb04084c6d57233ca56db1674a11a6fb1,101,enthusiastic_rookie,quiet_pro,365,
b7970e7189d22c4fae4330209bcbf150317eb6dd,101,lazy_rookie,lazy_rookie,365,
0c783b0320a4c3059ab609e53ec69038965e793f,101,enthusiastic_rookie,exit,41,41
d0bb20ae080b40f62966c59e4ba92b903944e941,101,enthusiastic_rookie,exit,49,49
18a3f27a86e5cb3e17a69f929f56d7d2e1ca22cb,101,social_glue,quiet_pro,365,
4c77801af76632aeebf12740e39ca4b9ee1047c8,101,burned_idealist,exit,1,1
101d81a2a7502d16aba4fb11c47f04b2f5f1e62a,101,enthusiastic_rookie,quiet_pro,365,
0b4cefa0de18ddd4632d18ca28ed22132e280cc2,101,lazy_rookie,exit,12,12
5957c5f8782fe7cc82717e8a6931f508a9ae6179,101,lazy_rookie,exit,29,29
8f89a863a3de0ad9125b6571436eb2920bb0d942,101,enthusiastic_rookie,quiet_pro,365,
08bd6022324212bd257e72935b8daab35e8476e4,101,enthusiastic_rookie,exit,18,18
8d313625d526e2ccc97940d6d63a68a7413697c1,101,burned_idealist,exit,1,1
b380ee7b36c3d5483b9f993b93377d3e801539cc,101,enthusiastic_rookie,quiet_pro,365,
9455de2400bc22f437c308b977533b228153a374,101,workhorse,quiet_pro,365,
a3a782da394c44092fdc91eeff3f7c44d4c16ce4,101,overwhelmed_rookie,exit,1,1
f79d54fc3c18e5d901d675e2a696298693743614,101,burned_idealist,exit,1,1
d9207bb5cbdc0e07fef0a2469cccca7958dcdb8a,101,cynical_anchor,exit,1,1
e3626e1f1b64b6d3a88c7d38284c532cc8121097,101,lazy_rookie,exit,38,38
44e67b37fe6c882f179c7be55fdc83eb513aa5bd,101,snarky_rookie,exit,1,1
501ed36de7a87d10cab63f2ba9e7e430ef0812bf,101,snarky_rookie,exit,1,1
f781cc712631348fdc6fbe455a3bbdc67fe087cc,101,social_glue,exit,26,26
3a1307598e6dc1f543021826293a94fdb92b85a8,101,lazy_rookie,exit,24,24
05b2ef5be9eba4f2f339f040e13cf74eecb7f508,101,overwhelmed_rookie,exit,1,1
893936b1e3c9aef6b91187dd27d3f1f1552faac0,101,enthusiastic_rookie,quiet_pro,365,
5bc80895947896f357f6faa9da5317bbd63f1795,101,workhorse,quiet_pro,365,
b12a71bf807e2c9647e2715f577037ea7b0e4efd,101,lazy_rookie,exit,53,53
e8031912d73e8b299795ca2b53699db728035c4a,101,enthusiastic_rookie,quiet_pro,365,
26c9286c2d39d7c82f3f0bae507bf3985e5ce416,101,enthusiastic_rookie,exit,62,62
c20b735e78aa11d4add5ef847a9b71c336a19146,101,snarky_rookie,exit,1,1
3385a05c91736e6e6d636b33974eae9dedf422b3,101,enthusiastic_rookie,exit,24,24
91bae1f594397ccad0f984d13ae2c37eb08994b5,101,lazy_rookie,exit,66,66
89ba34e8ba3763daa32bc1143c7aad53e88bfbcb,101,overwhelmed_rookie,exit,28,28
ad7462b25db5771b3c01d5c279ea8ce718293c48,101,enthusiastic_rookie,exit,85,85
d055cdbfd300c0ebb9d6d80d2fdca8c4d5ac5687,101,overwhelmed_rookie,exit,1,1
d4e7ffe0d72563e9293d6eed5d7870ab523ac294,102,overwhelmed_rookie,cynical_anchor,365,
50e47c697f6cae1cd0eba3eb90bdecd565aed1fb,102,burned_idealist,exit,1,1
